45 990
19 38 29
19 39 30
19 40 9
19 41 25
19 42 32
19 43 27
19 44 31
19 45 1
20 21 5
20 22 22
20 23 39
20 24 21
20 25 37
20 26 2
20 27 21
20 28 24
20 29 14
20 30 45
20 31 9
20 32 38
20 33 7
20 34 35
20 35 15
20 36 43
20 37 15
20 38 6
20 39 8
20 40 38
20 41 5
20 42 14
20 43 14
20 44 17
20 45 29
21 22 35
21 23 33
21 24 36
21 25 16
21 26 10
21 27 21
21 28 30
21 29 36
21 30 7
21 31 41
21 32 6
21 33 38
21 34 38
21 35 17
21 36 36
21 37 42
21 38 19
21 39 4
21 40 38
21 41 9
21 42 18
21 43 37
21 44 5
21 45 11
22 23 17
22 24 8
22 25 45
22 26 21
22 27 38
22 28 10
22 29 27
22 30 26
22 31 33
22 32 44
22 33 10
22 34 1
22 35 20
22 36 39
22 37 22
22 38 21
22 39 41
22 40 29
22 41 36
22 42 41
22 43 2
22 44 16
22 45 13
23 24 37
23 25 38
23 26 45
23 27 31
23 28 23
23 29 24
23 30 37
23 31 35
23 32 38
23 33 39
23 34 41
23 35 18
23 36 9
23 37 23
23 38 36
23 39 10
23 40 39
23 41 44
23 42 21
23 43 19
23 44 41
23 45 45
24 25 29
24 26 18
24 27 17
24 28 29
24 29 23
24 30 39
24 31 16
24 32 19
24 33 19
24 34 39
24 35 33
24 36 4
24 37 30
24 38 30
24 39 3
24 40 36
24 41 34
24 42 17
24 43 34
24 44 33
24 45 44
25 26 13
25 27 9
25 28 13
25 29 14
25 30 42
25 31 44
25 32 44
25 33 21
25 34 33
25 35 29
25 36 19
25 37 13
25 38 29
25 39 32
25 40 12
25 41 33
25 42 4
25 43 43
25 44 7
25 45 27
26 27 9
26 28 11
26 29 6
26 30 14
26 31 37
26 32 38
26 33 42
26 34 37
26 35 44
26 36 35
26 37 28
26 38 3
26 39 41
26 40 19
26 41 27
26 42 2
26 43 26
26 44 16
26 45 28
27 28 26
27 29 9
27 30 11
27 31 6
27 32 21
27 33 24
27 34 15
27 35 41
27 36 44
27 37 15
27 38 36
27 39 20
27 40 8
27 41 31
27 42 12
27 43 2
27 44 30
27 45 37
28 29 31
28 30 3
28 31 30
28 32 37
28 33 6
28 34 40
28 35 41
28 36 4
28 37 30
28 38 15
28 39 5
28 40 37
28 41 9
28 42 9
28 43 17
28 44 42
28 45 42
29 30 28
29 31 15
29 32 13
29 33 38
29 34 6
29 35 18
29 36 7
29 37 16
29 38 27
29 39 27
29 40 15
29 41 6
29 42 22
29 43 9
29 44 22
29 45 14
30 31 26
30 32 15
30 33 20
30 34 30
30 35 27
30 36 39
30 37 28
30 38 7
30 39 14
30 40 13
30 41 2
30 42 26
30 43 42
30 44 25
30 45 43
31 32 1
31 33 38
31 34 13
31 35 25
31 36 44
31 37 30
31 38 13
31 39 8
31 40 22
31 41 8
31 42 16
31 43 11
31 44 4
31 45 18
32 33 1
32 34 43
32 35 13
32 36 40
32 37 4
32 38 30
32 39 26
32 40 40
32 41 28
32 42 4
32 43 17
32 44 43
32 45 28
33 34 11
33 35 10
33 36 25
33 37 23
33 38 44
33 39 37
33 40 45
33 41 4
33 42 36
33 43 28
33 44 13
33 45 27
34 35 40
34 36 40
34 37 15
34 38 8
34 39 38
34 40 16
34 41 6
34 42 42
34 43 23
34 44 8
34 45 5
35 36 21
35 37 32
35 38 1
35 39 43
35 40 13
35 41 32
35 42 1
35 43 17
35 44 7
35 45 16
36 37 17
36 38 34
36 39 38
36 40 9
36 41 11
36 42 9
36 43 28
36 44 13
36 45 26
37 38 24
37 39 40
37 40 13
37 41 24
37 42 8
37 43 38
37 44 2
37 45 7
38 39 44
38 40 10
38 41 20
38 42 14
38 43 30
38 44 36
38 45 4
39 40 4
39 41 29
39 42 23
39 43 35
39 44 30
39 45 22
40 41 40
40 42 34
40 43 26
40 44 43
40 45 16
41 42 24
41 43 14
41 44 2
41 45 39
42 43 18
42 44 4
42 45 25
43 44 4
43 45 10
44 45 35

