58 927
31 3 1064
56 45 498
57 15 185
26 40 883
15 49 1218
26 6 1161
21 20 327
34 12 1044
28 50 758
13 2 604
32 17 845
52 9 67
22 1 1146
34 37 85
47 15 428
54 43 236
46 22 262
57 18 221
4 18 10
44 15 1270
41 16 197
10 31 695
23 36 21
33 39 1310
42 39 1185
11 16 400
51 7 153
31 40 36
33 42 1021
53 58 23
18 45 248
27 4 1189
38 4 1198
9 10 1092
7 19 149
13 32 822
25 15 1050
8 5 1162
38 55 673
58 6 414
37 10 910
34 3 883
12 42 1240
56 12 470
11 50 419
8 1 164
51 23 144
58 3 1336
48 13 444
33 2 1006
45 20 31
5 13 552
11 25 1177
16 18 788
5 15 352
8 25 355
46 10 781
49 44 629
33 46 1280
4 10 912
32 9 333
45 10 926
35 24 343
29 33 1121
56 53 307
19 55 1056
29 40 354
37 39 557
10 18 1185
27 24 761
37 55 827
6 33 837
53 28 1114
51 25 1274
1 17 618
26 10 715
45 46 520
35 55 1014
52 28 904
39 11 383
49 54 640
13 49 275
5 51 159
16 21 355
4 6 526
24 37 398
20 53 1178
9 46 622
31 29 465
26 12 45
42 27 230
54 41 988
55 51 999
18 6 1242
27 33 304
28 47 1044
26 43 16
54 58 152
36 2 687
6 20 698
43 13 1317
58 48 41
26 7 1085
3 11 438
1 4 360
57 20 1272
10 23 1108
12 18 1076
44 38 489
31 9 593
30 5 210
24 31 607
5 20 122
42 11 732
43 57 813
52 19 1066
22 45 369
51 54 12
44 8 506
50 6 970
46 27 1129
42 49 630
13 6 24
56 58 625
33 53 887
38 25 809
19 8 620
40 33 187
32 5 391
53 34 961
23 34 806
39 1 303
3 54 997
22 48 801
3 7 944
17 44 465
55 48 706
13 55 1210
25 46 378
42 16 929
56 49 1226
31 21 719
58 36 903
2 17 715
40 53 1100
13 31 721
17 50 1190
25 20 703
29 55 876
58 45 990
30 27 823
23 24 956
7 17 1125
28 33 1303
43 58 907
29 17 150
13 54 452
32 55 751
16 17 271
24 3 53
47 31 972
11 33 93
10 57 186
52 39 169
12 19 1011
38 36 1064
55 25 327
10 53 1283
31 8 922
48 1 614
12 38 402
21 13 918
45 49 1113
51 17 973
34 26 388
18 48 1202
46 39 1337
23 43 947
42 51 573
31 16 911
58 30 189
52 5 407
19 33 1156
4 21 882
21 10 1087
47 33 1178
58 15 1062
54 56 597
9 15 131
35 16 1147
45 57 528
34 48 942
55 31 1113
47 32 988
11 7 81
51 10 316
40 34 120
42 21 328
42 43 737
15 36 247
49 10 995
21 54 630
30 54 1344
47 22 460
5 3 37
42 40 977
13 22 69
45 24 1135
41 2 1058
40 48 91
11 32 1199
12 53 735
26 38 252
46 52 792
3 56 730
30 57 1320
50 41 759
50 25 736
27 16 943
2 54 814
53 3 424
18 14 175
27 37 860
41 13 1126
4 7 967
20 12 758
43 25 500
10 35 1166
42 25 480
33 49 342
38 41 1231
43 14 12
50 55 1234
2 5 1303
2 55 89
38 30 68
32 26 1326
55 15 618
3 40 416
43 48 861
54 14 1296
28 12 1258
30 2 694
40 32 71
53 31 1046
53 36 318
56 37 389
19 5 96
56 16 833
26 1 220
32 29 1048
32 45 963
22 36 452
15 6 530
10 48 206
13 52 213
28 14 580
52 41 660
21 37 1291
4 14 184
18 19 1084
37 4 724
54 24 83
44 58 327
16 58 186
5 28 547
42 28 97
37 54 1175
46 4 1137
46 58 967
45 36 1015
45 48 801
22 7 84
10 29 1158
58 8 586
37 12 847
19 17 410
40 25 924
29 2 788
24 56 1198
18 32 937
20 46 755
11 49 1270
40 11 242
5 43 884
39 28 1123
57 12 3
12 17 1287
9 22 130
29 50 78
39 54 1188
11 6 362
14 8 1005
42 37 682
58 7 19
25 34 754
19 53 382
54 57 800
54 46 429
17 39 296
3 18 799
45 51 300
22 12 618
1 23 513
40 56 36
46 17 422
36 26 429
41 25 490
42 53 139
55 54 1032
9 7 352
52 2 530
37 6 733
31 45 996
16 9 420
47 40 1271
29 56 351
28 35 34
41 6 929
11 29 495
31 15 1203
6 34 825
34 46 522
29 42 951
23 42 965
40 24 470
32 28 1025
1 25 151
33 1 920
10 55 112
33 55 457
25 47 908
43 33 1211
11 26 754
31 44 538
53 27 1190
44 6 494
56 11 809
48 56 72
38 22 179
10 41 522
37 11 655
41 24 237
36 7 1262
38 45 848
2 16 1254
29 28 160
55 34 441
15 24 3
23 46 37
17 35 161
12 6 1095
16 26 720
44 11 925
3 21 971
13 39 755
12 41 785
13 23 528
52 20 130
6 54 607
26 3 1296
14 9 172
24 6 455
22 53 1003
29 26 1176
47 44 197
25 16 594
1 55 364
13 33 120
52 37 797
26 30 937
30 35 509
49 17 755
49 3 533
45 29 629
19 58 824
48 38 856
19 48 1257
26 49 899
20 58 109
41 15 1085
13 28 560
49 38 966
16 53 118
2 38 577
19 13 236
38 16 702
46 26 802
36 10 391
22 55 1015
7 31 1152
27 17 1296
20 30 1303
42 34 189
4 30 63
32 56 592
28 31 585
50 9 164
25 24 1109
8 11 757
25 57 1134
8 6 156
20 37 7
53 38 132
35 19 928
11 47 199
27 57 966
44 21 461
37 18 34
57 55 373
12 47 374
7 35 130
42 10 847
19 29 1095
18 40 873
58 21 465
6 53 116
25 5 604
51 18 974
28 21 510
47 17 435
48 44 989
26 56 1042
46 3 740
39 19 1143
29 7 735
40 41 174
6 42 19
10 12 1166
14 16 1327
47 20 1136
26 51 355
18 9 1018
1 12 1227
30 14 1165
34 58 122
8 37 504
43 27 368
17 56 872
56 36 988
43 21 1312
52 12 439
12 32 1110
43 41 295
12 21 618
21 1 1036
55 11 1007
20 33 959
5 21 609
31 12 815
52 10 1277
7 43 722
33 56 917
46 47 873
19 40 1014
47 18 100
1 44 428
40 39 720
42 31 154
52 8 969
36 19 1310
50 19 928
34 35 820
44 7 526
12 29 374
55 49 742
14 34 487
19 43 623
14 5 1130
14 26 1331
41 11 730
38 9 326
54 42 124
26 42 668
23 25 922
58 26 532
16 19 229
52 33 504
30 52 1003
2 23 478
46 1 402
36 48 769
13 24 1059
12 36 1078
41 5 308
58 9 340
17 22 1189
7 47 947
51 36 302
10 3 1333
39 38 609
1 27 1196
56 35 901
32 39 850
33 26 500
17 11 645
25 54 693
5 9 1262
44 41 322
32 54 992
47 3 548
3 2 1120
22 4 1322
58 13 793
51 13 1137
43 35 682
27 22 453
53 37 680
13 16 916
27 10 1117
1 3 393
51 47 1171
39 25 1032
14 11 690
24 48 598
20 41 1142
52 29 391
14 20 1136
38 17 426
30 7 679
53 35 1107
48 50 356
53 14 1300
30 18 1027
19 14 1218
51 50 94
53 18 289
17 48 106
48 6 118
10 20 720
4 8 243
44 54 1176
49 21 823
11 34 423
50 1 925
11 19 378
53 7 1311
13 30 1254
23 50 469
7 6 970
7 52 327
28 8 1315
33 12 650
37 57 954
15 33 910
26 53 648
3 4 673
36 8 1189
29 51 165
39 26 797
12 35 366
51 33 1193
10 38 860
15 4 775
58 2 385
27 28 304
30 36 378
28 18 1190
58 51 232
26 23 1188
24 14 50
46 31 676
51 16 504
46 30 240
40 44 895
51 46 324
22 39 397
19 54 1261
10 33 967
10 17 1010
56 21 1322
40 12 855
40 21 239
16 39 1089
11 23 4
48 3 56
34 10 1274
16 24 98
16 20 126
41 9 967
21 29 539
14 58 75
50 42 233
50 34 178
21 34 211
15 22 703
25 36 286
15 56 980
42 56 904
8 47 173
14 41 667
14 50 712
24 7 1273
26 9 1015
20 13 940
40 51 552
8 33 419
42 46 1066
20 29 1048
48 5 894
17 9 714
23 21 572
32 4 543
14 2 692
15 1 1089
16 6 789
43 50 1039
29 47 60
4 42 989
21 45 528
33 4 1187
54 1 1140
1 58 1167
7 12 425
13 27 310
3 6 2
50 2 287
16 4 154
27 49 91
8 15 1269
10 24 734
25 26 51
55 20 1133
32 58 900
57 11 285
16 46 1203
54 9 1276
45 12 11
20 3 1140
33 30 565
44 55 311
8 42 1343
15 11 32
58 35 871
20 22 280
43 32 678
39 44 547
46 53 528

